,Manufacturer,Model,Car_Name,Variant,Body_Type,Fuel_Type,Gear_Type,Drivetrain,Displacement,Cylinders,Mileage,Power,Torque,Fuel_tank,Height,Length,Width,Doors,Seats,Wheelbase,Airbags,On_road_price
0,Tata,Nano Genx,Tata Nano Genx,Xt,Hatchback,Petrol,Manual,RWD (Rear Wheel Drive),624,2,23.6,37.48,51,24.0,1652.0,3164.0,1750.0,5,4,2230.0,0,298520
1,Tata,Nano Genx,Tata Nano Genx,Xe,Hatchback,Petrol,Manual,RWD (Rear Wheel Drive),624,2,23.6,37.48,51,24.0,1652.0,3164.0,1750.0,5,4,2230.0,0,241175
3,Tata,Nano Genx,Tata Nano Genx,Xta,Hatchback,Petrol,Automatic,RWD (Rear Wheel Drive),624,2,21.9,37.48,51,24.0,1652.0,3164.0,1750.0,5,4,2230.0,0,341463
4,Tata,Nano Genx,Tata Nano Genx,Xm,Hatchback,Petrol,Manual,RWD (Rear Wheel Drive),624,2,23.6,37.48,51,24.0,1652.0,3164.0,1750.0,5,4,2230.0,0,277667
5,Tata,Nano Genx,Tata Nano Genx,Xma,Hatchback,Petrol,Automatic,RWD (Rear Wheel Drive),624,2,21.9,37.48,51,24.0,1652.0,3164.0,1750.0,5,4,2230.0,0,321111
6,Datsun,Redi-Go,Datsun Redi-Go,D,Hatchback,Petrol,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28.0,1541.0,3429.0,1560.0,5,5,2348.0,0,285243
7,Datsun,Redi-Go,Datsun Redi-Go,T,Hatchback,Petrol,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28.0,1541.0,3429.0,1560.0,5,5,2348.0,0,358868
8,Datsun,Redi-Go,Datsun Redi-Go,A,Hatchback,Petrol,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28.0,1541.0,3429.0,1560.0,5,5,2348.0,0,340087
9,Datsun,Redi-Go,Datsun Redi-Go,S,Hatchback,Petrol,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28.0,1541.0,3429.0,1560.0,5,5,2348.0,0,369240
10,Datsun,Redi-Go,Datsun Redi-Go,1.0 S,Hatchback,Petrol,Manual,FWD (Front Wheel Drive),999,3,22.5,67.07,91,28.0,1541.0,3429.0,1560.0,5,5,2348.0,0,397800
11,Datsun,Redi-Go,Datsun Redi-Go,1.0 S Amt,Hatchback,Petrol,Automatic,FWD (Front Wheel Drive),999,3,23.0,67.07,91,28.0,1541.0,3429.0,1560.0,5,5,2348.0,0,445806
12,Renault,Kwid,Renault Kwid,Rxe 0.8,Hatchback,Petrol,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28.0,1490.0,3731.0,1579.0,5,5,2422.0,1,360355
13,Renault,Kwid,Renault Kwid,Std 0.8,Hatchback,Petrol,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28.0,1490.0,3731.0,1579.0,5,5,2442.0,1,288955
14,Renault,Kwid,Renault Kwid,Rxl 0.8,Hatchback,Petrol,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28.0,1490.0,3731.0,1579.0,5,5,2422.0,1,390955
15,Renault,Kwid,Renault Kwid,Rxt 0.8,Hatchback,Petrol,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28.0,1490.0,3731.0,1580.0,5,5,2422.0,1,421555
16,Renault,Kwid,Renault Kwid,Rxt 1.0,Hatchback,Petrol,Manual,FWD (Front Wheel Drive),999,3,23.01,67.07,91,28.0,1490.0,3731.0,1579.0,5,5,2422.0,1,441955
17,Renault,Kwid,Renault Kwid,Climber 1.0 Mt,Hatchback,Petrol,Manual,FWD (Front Wheel Drive),999,3,23.01,67.07,91,28.0,1490.0,3731.0,1579.0,5,5,2422.0,1,463579
18,Renault,Kwid,Renault Kwid,Rxt Amt 1.0,Hatchback,Petrol,Automatic,FWD (Front Wheel Drive),999,3,24.04,67.07,91,28.0,1490.0,3731.0,1579.0,5,5,2422.0,1,472555
19,Renault,Kwid,Renault Kwid,Climber Amt 1.0,Hatchback,Petrol,Automatic,FWD (Front Wheel Drive),999,3,24.04,67.07,91,28.0,1490.0,3731.0,1579.0,5,5,2422.0,1,494179
20,Renault,Kwid,Renault Kwid,Rxt (O) 1.0,Hatchback,Petrol,Manual,FWD (Front Wheel Drive),999,3,23.01,67.07,91,28.0,1490.0,3731.0,1579.0,5,5,2422.0,2,449809
21,Renault,Kwid,Renault Kwid,Rxt (O) Amt 1.0,Hatchback,Petrol,Automatic,FWD (Front Wheel Drive),999,3,23.01,67.07,91,28.0,1490.0,3731.0,1579.0,5,5,2422.0,2,480409
22,Renault,Kwid,Renault Kwid,Climber (O) Mt 1.0,Hatchback,Petrol,Manual,FWD (Front Wheel Drive),999,3,23.01,67.07,91,28.0,1490.0,3731.0,1579.0,5,5,2422.0,2,471433
23,Renault,Kwid,Renault Kwid,Climber (O) Amt 1.0,Hatchback,Petrol,Automatic,FWD (Front Wheel Drive),999,3,24.04,67.07,91,28.0,1490.0,3731.0,1579.0,5,5,2422.0,2,502033
24,Maruti Suzuki,Eeco,Maruti Suzuki Eeco,5 Str,MPV,Petrol,Manual,RWD (Rear Wheel Drive),1196,4,15.0,72.0,101,40.0,1800.0,3675.0,1475.0,5,5,2350.0,1,359178
25,Maruti Suzuki,Eeco,Maruti Suzuki Eeco,7 Str,MPV,Petrol,Manual,FWD (Front Wheel Drive),1196,4,15.0,72.99,101,40.0,1800.0,3675.0,1475.0,5,7,2350.0,1,388184
26,Maruti Suzuki,Eeco,Maruti Suzuki Eeco,5 Str With Ac+Htr,MPV,Petrol,Manual,RWD (Rear Wheel Drive),1196,4,15.0,72.0,101,40.0,1800.0,3675.0,1475.0,5,5,2350.0,0,400826
29,Maruti Suzuki,Alto K10,Maruti Suzuki Alto K10,Lxi,Hatchback,Petrol,Manual,FWD (Front Wheel Drive),998,3,24.07,67.07,90,35.0,1475.0,3545.0,1490.0,5,5,2360.0,1,385139
30,Maruti Suzuki,Alto K10,Maruti Suzuki Alto K10,Vxi,Hatchback,Petrol,Manual,FWD (Front Wheel Drive),998,3,24.07,67.07,90,35.0,1475.0,3545.0,1490.0,5,5,2360.0,1,401916
31,Maruti Suzuki,Alto K10,Maruti Suzuki Alto K10,Lx,Hatchback,Petrol,Manual,FWD (Front Wheel Drive),998,3,24.07,67.07,90,35.0,1475.0,3545.0,1490.0,5,5,2360.0,1,368059
32,Maruti Suzuki,Alto K10,Maruti Suzuki Alto K10,Vxi (O),Hatchback,Petrol,Manual,FWD (Front Wheel Drive),998,3,24.07,67.07,90,35.0,1460.0,3620.0,1475.0,5,5,2360.0,1,415382
34,Maruti Suzuki,Alto K10,Maruti Suzuki Alto K10,Vxi Amt (O),Hatchback,Petrol,Automatic,FWD (Front Wheel Drive),998,3,24.07,67.07,90,35.0,1475.0,3545.0,1490.0,5,5,2360.0,1,447330
35,Datsun,Go,Datsun Go,D,Hatchback,Petrol,Manual,FWD (Front Wheel Drive),1198,3,20.1,67.07,104,35.0,1507.0,3788.0,1636.0,5,5,2450.0,2,382489
36,Datsun,Go,Datsun Go,T,Hatchback,Petrol,Manual,FWD (Front Wheel Drive),1198,3,20.1,67.07,104,35.0,1507.0,3788.0,1636.0,5,5,2450.0,2,477593
37,Datsun,Go,Datsun Go,T (O),Hatchback,Petrol,Manual,FWD (Front Wheel Drive),1198,3,20.1,67.07,104,35.0,1507.0,3788.0,1636.0,5,5,2450.0,2,512541
38,Datsun,Go,Datsun Go,A (O),Hatchback,Petrol,Manual,FWD (Front Wheel Drive),1198,3,20.1,67.07,104,35.0,1507.0,3788.0,1636.0,5,5,2450.0,2,509989
39,Datsun,Go,Datsun Go,A,Hatchback,Petrol,Manual,FWD (Front Wheel Drive),1198,3,20.1,67.07,104,35.0,1507.0,3788.0,1636.0,5,5,2450.0,2,479389
40,Datsun,Go,Datsun Go,T Vdc,Hatchback,Petrol,Manual,FWD (Front Wheel Drive),1198,3,20.1,67.07,104,35.0,1507.0,3788.0,1636.0,5,5,2450.0,2,539033
41,Datsun,Go,Datsun Go,T (O) Vdc,Hatchback,Petrol,Manual,FWD (Front Wheel Drive),1198,3,20.1,67.07,104,35.0,1507.0,3788.0,1636.0,5,5,2450.0,2,564075
42,Datsun,Go,Datsun Go,T Cvt,Hatchback,Petrol,Manual,FWD (Front Wheel Drive),1198,3,20.1,76.93,104,35.0,1507.0,3788.0,1636.0,5,5,2450.0,2,606353
43,Datsun,Go,Datsun Go,T (O) Cvt,Hatchback,Petrol,Manual,FWD (Front Wheel Drive),1198,3,20.1,76.93,104,35.0,1507.0,3788.0,1636.0,5,5,2450.0,2,630375
44,Maruti Suzuki,Celerio Tour,Maruti Suzuki Celerio Tour,H2,Hatchback,Petrol,Manual,FWD (Front Wheel Drive),998,3,23.1,67.07,90,35.0,1560.0,3600.0,1600.0,5,5,2425.0,2,430892
46,Hyundai,Santro,Hyundai Santro,Era Mt,Hatchback,Petrol,Manual,FWD (Front Wheel Drive),1086,4,20.3,68.06,99,35.0,1560.0,3610.0,1645.0,4,5,2400.0,1,438589
47,Hyundai,Santro,Hyundai Santro,Magna Mt,Hatchback,Petrol,Manual,FWD (Front Wheel Drive),1086,4,20.3,68.06,99,35.0,1560.0,3610.0,1645.0,4,5,2400.0,1,514069
49,Hyundai,Santro,Hyundai Santro,Magna Amt,Hatchback,Petrol,AMT,FWD (Front Wheel Drive),1086,4,20.3,68.06,10,35.0,1560.0,3610.0,1645.0,4,5,2400.0,1,541609
50,Hyundai,Santro,Hyundai Santro,Sportz Mt,Hatchback,Petrol,Manual,FWD (Front Wheel Drive),1086,4,20.3,68.06,10,35.0,1560.0,3610.0,1645.0,4,5,2400.0,1,523249
52,Hyundai,Santro,Hyundai Santro,Sportz Amt,Hatchback,Petrol,AMT,FWD (Front Wheel Drive),1086,4,20.3,68.06,10,35.0,1560.0,3610.0,1645.0,4,5,2400.0,1,582409
